Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,18:00:06.198,Ground 1 Bot,Track Master 100,18.952002s,1896,1087,0.573312,1.086995,1.896033,0.573300,0,0
2,18:00:26.601,Ground 2 Bot,Track Master 100,20.399000s,1911,1192,0.623757,1.192000,1.911033,0.623746,0,0
3,18:00:47.001,Ground 3 Bot,Track Master 100,20.389002s,1902,1105,0.580967,1.104996,1.902033,0.580955,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5728,3384,3.383937,5.727767,

Kills:,3
Deaths:,0
Fight Time:,59.740002
Time Remaining:,0.0
Avg TTK:,19.99762
Damage Done:,3.383937
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,3384
Miss Count:,2344
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,3384.0
Scenario:,VT Ground Intermediate S5
Hash:,489b27e681807e0212eef50241bb0769
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,17:59:47.202
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,1.5
Vert Sens:,1.5
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,305.736389
Resolution Scale:,100.0
