Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,18:24:59.245,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
2,18:24:59.777,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
3,18:25:00.146,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
4,18:25:00.566,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
5,18:25:01.034,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
6,18:25:01.457,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
7,18:25:01.879,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
8,18:25:02.354,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
9,18:25:02.806,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
10,18:25:03.171,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
11,18:25:03.618,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
12,18:25:04.025,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
13,18:25:04.450,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
14,18:25:04.821,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
15,18:25:05.247,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
16,18:25:05.627,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
17,18:25:06.202,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
18,18:25:06.647,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
19,18:25:07.135,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
20,18:25:07.550,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
21,18:25:08.018,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
22,18:25:08.443,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
23,18:25:08.784,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
24,18:25:09.198,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
25,18:25:09.695,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
26,18:25:10.001,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
27,18:25:10.413,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
28,18:25:10.965,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
29,18:25:11.294,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
30,18:25:11.682,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
31,18:25:12.083,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
32,18:25:12.540,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
33,18:25:12.938,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
34,18:25:13.253,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
35,18:25:13.611,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
